currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
NAC,BE	1593.81	1562.59	1562.59	1562.59	1531.93	1531.93	1501.82	1501.82	1501.82	1501.82	1501.82	1501.82	1501.82	1472.42	1443.54	1443.54	1415.24	1387.5	1387.5	1387.5	1387.5	1335.8	1309.6	1283	1259	1234	1234	1210	1210	1186.31	1186.31	1186.31	1163.02	1163.02	1140.24	1140.24	1117.88	1095.89	1095.89	1095.89	1074.44
NAC,BG	560	510	510	460	460	420	420	380	360	340	340	310	310	290	270	240	240	240	240	240	240	220	220	180	180	160	160	150	150	120	120	110	110	100	100	85	79	75	67	67	61
NAC,CH	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,CY	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,CZ	13350	12200	12200	11000	11000	9900	9900	9200	9200	8500	8500	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	7955	7570	7185	7185	6700	6700	6200	6200	5700	5700	5000	5000	4500	4000	3600	3250
NAC,DE	1557	1498	1498	1498	1498	1440	1440	1440	1440	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,DK	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,EE	540	500	500	470	470	430	430	390	390	355	355	320	320	290	290	278.02	278.02	278.02	278.02	278.02	278.02	278.02	278.02	230.08	230.08	191.73	191.73	171.92	171.92	158.5	158.5	138.05	138.05	118.24	118.24	102.26	102.26	89.48	89.48	79.89	79.89
NAC,EL	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	683.76	876.62	876.62	862.82	862.82	862.82	862.82	817.83	794.02	794.02	767.55	730.3	709.71	709.71	667.68	667.68	630.77	630.77	606.52	606.52	582	571.71	551.7	543.55	533.93	526.05	512.13	505.06
NAC,ES	1050	858.55	858.55	825.65	825.65	764.4	764.4	756.7	756.7	752.85	752.85	752.85	752.85	748.3	748.3	748.3	748.3	738.85	738.85	728	728	700	700	665.7	665.7	631.05	631.05	598.5	598.5	572.6	537.25	526.4	526.4	515.9	515.9	505.69	505.69	495.6	495.6	485.71	485.71
NAC,FI	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,FR	1521.22	1498.47	1498.47	1480.27	1480.27	1466.62	1466.62	1457.52	1457.52	1445.38	1445.38	1430.22	1430.22	1425.67	1398.37	1365	1365	1343.77	1343.77	1337.7	1321.02	1321.02	1280.07	1280.07	1254.28	1254.28	1217.88	1217.88	1286.09	1286.09	1215.11	1215.11	1154.27	1154.27	1127.23	1127.23	1083.29	1083.29	1049.49	1049.49	1035.97
NAC,HR	3750	3439.8	3439.8	3276	3276	3120	3120	3029.55	3029.55	3017.61	3017.61	2984.78	2814	2814	2814	2814	2814	2814	2814	2814	2747	2747	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,HU	149000	138000	138000	127500	127500	111000	111000	105000	105000	101500	101500	98000	98000	93000	93000	78000	78000	73500	73500	71500	71500	69000	69000	65500	65500	62500	62500	57000	57000	53000	53000	50000	50000	50000	50000	40000	40000	25500	25500	22500	22500
NAC,IE	1656.2	1613.95	1613.95	1563.25	1563.25	1546.35	1546.35	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1461.85	1402.7	1292.85	1292.85	1292.85	1183	1183	1073.15	1073.15	1073.15	1008.93	1008.93	1008.93	944.71	944.71	: z	: z	: z
NAC,IS	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,IT	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,LT	555	400	400	380	380	380	350	325	300	289.62	289.62	289.62	289.62	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	231.7	202.73	173.77	173.77	159.29	159.29	144.81	144.81	130.33	124.54	124.54	124.54	124.54	124.54	124.54	124.54	124.54	124.54	124.54
NAC,LU	2071.1	1998.59	1998.59	1998.59	1998.59	1922.96	1922.96	1922.96	1922.96	1921.03	1921.03	1874.19	1874.19	1801.49	1801.49	1757.56	1757.56	1724.81	1682.76	1682.76	1641.74	1609.53	1570.28	1570.28	1570.28	1503.42	1503.42	1466.77	1466.77	1402.96	1402.96	1368.74	1368.74	1322.47	1290.21	1290.21	1258.75	1220.88	1191.13	1162.08	1162.08
NAC,LV	430	430	430	380	380	370	370	360	360	320	320	284.57	284.57	284.57	284.57	284.57	284.57	256.12	256.12	256.12	256.12	227.66	227.66	170.74	170.74	128.06	128.06	113.83	113.83	113.83	113.83	99.6	99.6	85.37	85.37	85.37	71.14	71.14	71.14	71.14	71.14
NAC,ME	: 	: 	: 	: 	288.05	288.05	288.05	288.05	288.05	288.05	288.05	288.05	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NAC,MK	: 	: 	: 	: 	14739	14563	13986	13986	13140	13140	13140	12268	12268	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,MT	757.64	747.54	747.54	735.63	735.63	728.04	728.04	720.46	720.46	717.95	717.95	702.82	702.82	685.14	685.14	664.95	664.95	659.92	659.92	634.88	634.88	617.21	617.21	601.9	601.9	584.24	584.24	561.53	561.53	543.86	543.86	536.29	536.29	518.63	518.63	503.49	503.49	488.35	488.35	478.25	478.25
NAC,NL	1615.8	1594.2	1578	1565.4	1551.6	1537.2	1524.6	1507.8	1501.8	1495.2	1485.6	1477.8	1469.4	1456.2	1446.6	1435.2	1424.4	1416	1407.6	1398.6	1381.2	1356.6	1335	1317	1300.8	1284.6	1272.6	1264.8	1264.8	1264.8	1264.8	1264.8	1249.2	1231.8	1206.6	1180.4	1154.5	1110.8	1092	1078.4	1064.2
NAC,NO	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
NAC,PL	2250	2100	2100	2000	2000	1850	1850	1750	1750	1680	1680	1600	1600	1500	1500	1386	1386	1317	1317	1276	1276	1126	1126	936	936	899	899	849	849	824	824	800	800	760	760	760	760	700	670	650	650
NAC,PT	700	676.67	676.67	649.83	649.83	618.33	618.33	589.17	589.17	565.83	565.83	565.83	565.83	565.83	565.83	565.83	565.83	554.17	554.17	525	525	497	497	470.17	470.17	449.98	449.98	437.15	437.15	425.95	425.95	416.03	416.03	406.01	406.01	389.89	389.89	371.27	371.27	356.72	356.72
