currency,geo\time	2019S1 	2018S2 	2018S1 	2017S2 	2017S1 	2016S2 	2016S1 	2015S2 	2015S1 	2014S2 	2014S1 	2013S2 	2013S1 	2012S2 	2012S1 	2011S2 	2011S1 	2010S2 	2010S1 	2009S2 	2009S1 	2008S2 	2008S1 	2007S2 	2007S1 	2006S2 	2006S1 	2005S2 	2005S1 	2004S2 	2004S1 	2003S2 	2003S1 	2002S2 	2002S1 	2001S2 	2001S1 	2000S2 	2000S1 	1999S2 	1999S1 
PPS,NO	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,PL	932.99 e	870.79 e	870.79 e	829.32	829.32	788.68	788.68	772.35	772.35	719.94	719.94	684.79	684.79	643.47	643.47	582.62	582.62	553	553	515.72	515.72	475.8	475.8	407.23	407.23	378.82	378.82	356.11	356.11	355.23	355.23	351.56	351.56	336.96	336.96	334.91	334.91	315.43	301.91	308.63	308.63
PPS,PT	814.22 e	787.08 e	787.08 e	755.86	755.86	735.63	735.63	724.89	724.89	682.9	682.9	682.15	682.15	671.68	671.68	658.18	658.18	648.07	648.07	609.14	609.14	589.37	589.37	576.74	576.74	567.83	567.83	551.34	551.34	525.16	525.16	516.14	516.14	505.7	505.7	497.52	497.52	484.27	484.27	461.31	461.31
PPS,RO	865.22 e	790.35 e	790.35 e	603.16	519.97	538.31	452.18	455.78	423.23	383.73	362.41	340.34	297.79	305.9	305.9	292.72	292.72	265.41	265.41	261.43	261.43	229.53	229.53	193.04	193.04	171.35	171.35	167.67	167.67	170.85	170.85	162.59	162.59	138.59	110.87	134.7	96.21	87.14	56.02	76.96	59.86
PPS,RS	577.86 e	529.4 e	536.67 e	485.46	485.88	467.96	468.36	487.35	487.82	454.33	454.91	453.67	457.54	485.58	429.55	440.04	410.64	408.94	410.97	413.53	414.83	406.25	364.36	350.5	301.06	309.23	290.29	279.42	262.38	263.49	233.38	214.49	198.6	194.47	159.56	114.71	15.72	34.64	28.46	: 	: 
PPS,SE	: 	: 	: 	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PPS,SI	1058.58 e	1006.24 e	1006.24 e	961.07	961.07	946.43	946.43	978.18	978.18	954.08	954.08	943.55	943.55	921.6	921.6	886.22	886.22	860.42	700.18	680.38	680.38	699.45	664.91	671.73	671.73	675.68	675.68	657.4	657.4	627.55	627.55	593.42	593.42	571.07	571.07	532.45	532.45	521.68	503.06	478.52	478.52
PPS,SK	745.2 e	687.88 e	687.88 e	623.39	623.39	596.11	596.11	572.16	572.16	520.21	520.21	492.16	492.16	469.98	469.98	453.04	453.04	443.49	443.49	407.31	407.31	374.57	374.57	355.32	355.32	322.39	322.39	311.88	311.88	286.08	286.08	273.62	273.62	265	265	240.63	240.63	218.09	218.09	204.29	170.23
PPS,TR	1177.26 e	933.88 e	933.88 e	817.93	817.93	846.76	846.76	729.44	688.2	666.94	629.89	631.07	604.56	625.59	589.68	588.37	559.9	558.54	535.4	523.34	502.66	511.72	487.44	487.83	469.07	459.39	459.39	448.97	448.97	431.8	411.24	321.87	321.87	342.99	303.51	324.18	270.22	329.96	304.97	384.37	320.63
PPS,UK	1274.33 e	1274.33 e	1218.46 e	1218.46	1169.45	1191.28	1108.4	1103.68	1103.68	1051.93	1051.93	1031.06	1031.06	1043.87	1043.87	1015.1	1015.1	1006.06	1006.06	991.98	991.98	1011.41	1011.41	1024.39	1024.39	975.99	975.99	931.37	931.37	882.17	882.17	806.48	806.48	794.25	794.25	727.65	727.65	694.78	694.78	664.96	: z
PPS,US	972.11 e	972.11 e	972.11 e	972.11	972.11	1001.6	1001.6	1040.61	1040.61	1012.06	1012.06	1007.2	1007.2	1028.55	1028.55	1014.36	1014.36	1029.13	1029.13	928.48	928.48	859.46	859.46	786.45	786.45	786.39	786.39	792.86	792.86	787.1	787.1	790.94	790.94	802.46	802.46	805.33	805.33	815.14	815.14	810.4	810.4
