purchase,unit,geo\time	2018Q3 	2018Q2 	2018Q1 	2017Q4 	2017Q3 	2017Q2 	2017Q1 	2016Q4 	2016Q3 	2016Q2 	2016Q1 	2015Q4 	2015Q3 	2015Q2 	2015Q1 	2014Q4 	2014Q3 	2014Q2 	2014Q1 	2013Q4 	2013Q3 	2013Q2 	2013Q1 	2012Q4 	2012Q3 	2012Q2 	2012Q1 	2011Q4 	2011Q3 	2011Q2 	2011Q1 	2010Q4 	2010Q3 	2010Q2 	2010Q1 	2009Q4 	2009Q3 	2009Q2 	2009Q1 	2008Q4 	2008Q3 	2008Q2 	2008Q1 	2007Q4 	2007Q3 	2007Q2 	2007Q1 	2006Q4 	2006Q3 	2006Q2 	2006Q1 	2005Q4 	2005Q3 	2005Q2 	2005Q1 
DW_EXST,INX_Q,FR	108.74 p	106.13 	105.17 	104.93 	105.67 	103.16 	102.14 	101.62 	102.33 	100.09 	99.67 	100.12 	101.01 	99.46 	99.40 	100.56 	102.89 	102.20 	101.87 	103.19 	104.41 	103.62 	103.81 	105.18 	106.90 	105.96 	105.91 	107.39 	108.68 	106.21 	103.99 	103.57 	102.40 	99.20 	97.18 	96.27 	96.09 	94.31 	96.05 	100.42 	104.22 	103.70 	103.67 	104.38 	103.62 	101.18 	99.43 	98.74 	98.01 	94.74 	91.88 	89.75 	88.13 	83.90 	80.39 
DW_EXST,INX_Q,HR	114.68 	111.47 	111.59 	110.46 	106.65 	106.17 	102.51 	101.97 	102.30 	101.23 	101.73 	100.18 	99.37 	99.33 	101.12 	100.07 	100.87 	102.83 	101.96 	102.01 	103.05 	103.19 	102.69 	104.12 	107.50 	107.95 	109.59 	110.26 	110.58 	109.90 	109.56 	110.36 	110.63 	111.94 	111.75 	114.50 	114.55 	117.18 	123.01 	125.24 	127.67 	125.45 	125.23 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,HU	131.03 p	131.40 	128.48 	124.42 	122.47 	118.81 	115.32 	117.15 	115.41 	112.06 	109.52 	104.80 	103.04 	98.70 	93.46 	91.20 	89.04 	87.30 	85.58 	83.93 	85.14 	85.01 	84.87 	84.61 	86.33 	87.23 	90.49 	89.61 	90.13 	91.34 	92.07 	92.38 	94.13 	94.35 	95.16 	92.27 	95.14 	96.33 	99.61 	100.33 	102.60 	102.19 	100.97 	102.84 	101.76 	97.22 	94.86 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IE	135.10 p	131.79 p	129.12 p	127.45 p	123.93 p	117.03 p	114.35 p	112.90 p	109.94 p	104.49 p	103.23 p	103.00 p	101.63 p	98.66 p	96.71 p	97.23 p	94.36 p	86.91 p	81.97 p	80.53 p	77.87 p	73.34 p	73.47 p	75.90 p	75.32 p	74.06 p	75.62 p	79.05 p	83.20 p	89.07 p	94.82 p	99.91 p	104.48 p	106.97 p	110.52 p	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IS	143.46 	140.52 	138.82 	136.94 	135.65 	130.12 	122.09 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,IT	97.7 p	98.7 	98.1 	98.1 	99.0 	99.5 	99.1 	99.6 	100.6 	100.5 	99.7 	99.6 	100.4 	100.2 	99.8 	102.1 	104.1 	105.6 	107.0 	108.4 	110.1 	112.2 	112.7 	116.8 	120.5 	123.3 	125.1 	126.3 	128.0 	128.9 	126.0 	126.8 	127.8 	127.0 	125.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,LT	124.80 	123.81 	120.58 	117.66 	117.52 	115.30 	111.84 	110.25 	108.16 	105.59 	101.86 	100.84 	101.90 	100.52 	96.74 	96.64 	99.19 	97.31 	93.89 	92.43 	89.77 	91.13 	88.96 	87.92 	88.30 	89.17 	89.18 	90.81 	90.31 	89.82 	90.17 	86.80 	85.36 	85.97 	82.80 	86.29 	87.19 	88.16 	94.71 	119.60 	133.09 	134.86 	131.04 	130.09 	128.70 	120.68 	113.30 	103.06 	93.69 	86.36 	85.35 	: 	: 	: 	: 
DW_EXST,INX_Q,LU	120.99 	119.51 	117.32 	113.24 	112.65 	112.94 	110.19 	109.18 	108.03 	104.78 	102.85 	100.53 	101.09 	100.16 	98.22 	97.62 	96.67 	96.28 	94.24 	92.45 	91.75 	91.55 	90.30 	90.85 	88.25 	88.30 	86.88 	88.43 	83.74 	85.48 	83.19 	82.86 	80.75 	80.22 	81.35 	77.97 	75.99 	77.23 	75.90 	79.32 	80.49 	80.59 	78.09 	78.90 	80.52 	77.22 	77.14 	: 	: 	: 	: 	: 	: 	: 	: 
DW_EXST,INX_Q,LV	131.94 p	130.71 	125.46 	119.91 	119.36 	120.17 	113.23 	111.50 	110.53 	108.62 	103.37 	102.15 	100.89 	100.50 	96.47 	97.74 	106.45 	102.87 	101.72 	99.09 	97.31 	98.37 	93.48 	92.90 	90.65 	90.19 	87.61 	86.90 	90.40 	90.68 	90.79 	86.06 	85.65 	83.19 	83.47 	91.44 	92.60 	96.51 	105.18 	127.29 	152.94 	163.92 	168.20 	155.04 	160.34 	150.36 	143.09 	127.59 	115.97 	104.40 	93.33 	: 	: 	: 	: 
DW_EXST,INX_Q,MT	118.47 p	117.19 p	114.06 p	117.68 p	113.59 	112.87 	106.18 	113.59 	109.55 	104.96 	99.03 	108.04 	102.86 	97.25 	91.85 	99.01 	93.22 	94.49 	94.36 	97.06 	96.89 	86.05 	90.04 	88.85 	95.93 	83.95 	87.42 	83.61 	89.01 	87.87 	83.54 	80.92 	89.25 	89.94 	83.46 	79.88 	92.43 	87.83 	96.09 	104.20 	100.35 	85.94 	92.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
